"#","Reference","Qty","Value","Footprint","DNP"
"1","BZ1","1","Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"2","C1, C4, C21, C22, C23, C25","6","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C2, C5, C27, C28","4","20pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C3","1","220 pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","C6, C7, C8, C10, C11, C15, C24, C38, C43, C44, C45, C46, C47","13","0.1 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"6","C9, C13, C29, C30, C31, C32, C33, C41, C42","9","10 uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"7","C12, C34, C36, C37","4","1 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"8","C14","1","0.22 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"9","C16","1","4.7 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"10","C35","1","470 uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"11","C39, C40","2","0.47 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"12","D1, D2, D3, D4","4","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"13","H1, H2, H3, H4, H5, H6, H7, H8","8","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"14","J1, J13","2","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"15","J2, J14, J15, J16, J17, J18","6","Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"16","J3","1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11",""
"17","J4","1","Micro_SD_Card","Connector_Card:microSD_HC_Molex_47219-2001",""
"18","J5, J23","2","Conn_01x06","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"19","J6, J7, J8, J9","4","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"20","J10, J19, J20, J21, J22","5","Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"21","J11","1","Conn_02x09_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Vertical",""
"22","J12","1","Conn_02x04","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"23","J24","1","Conn_01x04","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"24","J25","1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"25","LS1, LS2","2","Speaker (3W 4ohm)","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"26","Q1","1","TIP121","Package_TO_SOT_THT:TO-220-3_Vertical",""
"27","R1, R2, R4","3","4.7 Kohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"28","R3","1","15 Kohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"29","R5, R8, R16, R17","4","330 ohm","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",""
"30","R6, R7","2","5.1 Kohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"31","R9, R10, R15, R19","4","10 Kohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"32","R11, R12","2","20 Kohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"33","R13","1","1 Kohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"34","R14, R18","2","10Kohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"35","SW1, SW2","2","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"36","SW3","1","SW_DIP_x01","Button_Switch_THT:SW_Slide_1P2T_CK_OS102011MS2Q",""
"37","SW5","1","SW_SPDT","Button_Switch_THT:SW_Slide_1P2T_CK_OS102011MS2Q",""
"38","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP19, TP21, TP23, TP24, TP25, TP27, TP28","24","TestPoint","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm",""
"39","U1, U2","2","CH32V203C8T6","CH32V203:CH32V203C8T6_LQFP-48_7x7mm_P0.5mm",""
"40","U3","1","ADXL345BCCZ","digikey-footprints:LGA-14_3x5mm_RevA",""
"41","U4","1","BMP280","digikey-footprints:LGA-8_2x2.5mm_BMP280",""
"42","U6","1","HMC5883L","_sensors:_HMC5883L",""
"43","U7, U12","2","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"44","U8","1","PAM8403D","Package_SO:SOP-16_3.9x9.9mm_P1.27mm",""
"45","U9, U11","2","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"46","U10","1","MPU-6050","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm",""
"47","U14","1","MCP4921-EMC","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm",""
"48","Y1, Y2","2","8 MHZ","Crystal:Crystal_HC18-U_Vertical",""
